Employee_Id,First_Name,Last_Name,Hire_Date,City,State
1,Rajeev,Joshi,2014-04-21,Haridwar,Uttarakhand
2,Pankaj,Gurian,2019-05-21,Mujaffarpur,Bihar
3,Sandeep,Meena,2013-08-21,Varanashi,Varanashi
4,Jay,"Kumar soni",0009-09-21,Sikar,Rajasthan
5,Alok,Oran,2016-10-21,Sikar,rajasthan
6,Varun,Choudhary,2017-10-21,Ujjain,Madhya-Pradesh
7,Ritik,Saini,0005-11-21,Jodhpur,Rajasthan
8,Samannay,Roy,2012-12-21,Kharagpur,West-Bengal
9,Avinash,Kumar,2029-12-21,chapra,Bihar
10,Ayush,Kumar,2021-06-22,"San Francisco",California
